"","recipient_city","Primary_Type","Payment","date","year","Number_of_Payments","Payment_Form","Payment_Nature","Third_Party_Payment"
"70630","SIOUX FALLS","Medical Doctor",1500,2015-06-23,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"70770","Watertown","Medical Doctor",1500,2015-06-24,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"70787","Sioux Falls","Medical Doctor",1458,2015-06-25,"2015",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"70804","DAKOTA DUNES","Medical Doctor",6000,2015-06-25,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"70864","Sioux Falls","Medical Doctor",3000,2015-06-25,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"70867","Sioux Falls","Medical Doctor",2400,2015-06-26,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"70885","SIOUX FALLS","Medical Doctor",3500,2015-06-26,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"70887","SIOUX FALLS","Medical Doctor",2800,2015-06-26,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"70897","Sioux Falls","Medical Doctor",6250,2015-06-26,"2015",1,"Cash or cash equivalent","Grant","Entity"
"70913","RAPID CITY","Medical Doctor",1412.05,2015-06-27,"2015",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"71025","SIOUX FALLS","Medical Doctor",6600,2015-06-30,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"71083","SIOUX FALLS","Medical Doctor",1750,2015-07-01,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"71157","SIOUX FALLS","Medical Doctor",3211.41,2015-07-02,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"71216","RAPID CITY","Medical Doctor",1021.88,2015-07-06,"2015",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"71247","SIOUX FALLS","Medical Doctor",1950,2015-07-07,"2015",1,"Cash or cash equivalent","Honoraria","No Third Party Payment"
"71255","SIOUX FALLS","Medical Doctor",2750,2015-07-07,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"71516","SIOUX FALLS","Medical Doctor",6459.38,2015-07-13,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"71578","SIOUX FALLS","Medical Doctor",4440,2015-07-14,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"71600","SIOUX FALLS","Medical Doctor",1512.2,2015-07-14,"2015",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"71717","SIOUX FALLS","Medical Doctor",1250.63,2015-07-16,"2015",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"71729","SIOUX FALLS","Medical Doctor",1250.63,2015-07-16,"2015",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"71813","SIOUX FALLS","Doctor of Podiatric Medicine",2500,2015-07-20,"2015",1,"Cash or cash equivalent","Compensation for serving as faculty or as a speaker for a non-accredited and noncertified continuing education program","No Third Party Payment"
"71831","SIOUX FALLS","Medical Doctor",4604.26,2015-07-20,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"71838","SIOUX FALLS","Medical Doctor",2800,2015-07-20,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"71842","SIOUX FALLS","Medical Doctor",2800,2015-07-20,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"71922","SIOUX FALLS","Medical Doctor",3750,2015-07-22,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"71975","SIOUX FALLS","Medical Doctor",11516.13,2015-07-23,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"71991","Rapid City","Medical Doctor",2500,2015-07-23,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72004","Rapid City","Medical Doctor",2500,2015-07-23,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72006","SIOUX FALLS","Medical Doctor",1500,2015-07-23,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"72031","Rapid City","Medical Doctor",2500,2015-07-24,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72036","SIOUX FALLS","Medical Doctor",1400,2015-07-24,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"72039","RAPID CITY","Doctor of Osteopathy",2420,2015-07-24,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72048","SIOUX FALLS","Medical Doctor",2100,2015-07-24,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"72060","SIOUX FALLS","Medical Doctor",1094.84,2015-07-25,"2015",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"72067","SIOUX FALLS","Medical Doctor",3180,2015-07-25,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72093","SIOUX FALLS","Medical Doctor",3500,2015-07-27,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72101","SIOUX FALLS","Medical Doctor",2000,2015-07-27,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72148","SIOUX FALLS","Medical Doctor",3000,2015-07-28,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72155","Sioux Falls","Medical Doctor",3150,2015-07-28,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"72164","SIOUX FALLS","Doctor of Osteopathy",2960,2015-07-28,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72174","SIOUX FALLS","Doctor of Osteopathy",1640,2015-07-28,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72202","SIOUX FALLS","Medical Doctor",1500,2015-07-29,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72206","SIOUX FALLS","Medical Doctor",1320,2015-07-29,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72212","SIOUX FALLS","Medical Doctor",1500,2015-07-29,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72235","SIOUX FALLS","Doctor of Osteopathy",1640,2015-07-29,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72243","SIOUX FALLS","Doctor of Osteopathy",1640,2015-07-29,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72279","Sioux Falls","",1000,2015-07-30,"2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"72372","SIOUX FALLS","Medical Doctor",3500,2015-08-03,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"72413","SIOUX FALLS","Medical Doctor",2000,2015-08-04,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72443","SIOUX FALLS","Medical Doctor",3000,2015-08-04,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72490","SIOUX FALLS","Medical Doctor",5500,2015-08-05,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72528","SIOUX FALLS","Medical Doctor",1725,2015-08-05,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72543","Sioux Falls","Medical Doctor",2300,2015-08-05,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72572","SIOUX FALLS","Medical Doctor",1400,2015-08-06,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"72577","SIOUX FALLS","Medical Doctor",5000,2015-08-06,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"72604","SIOUX FALLS","Medical Doctor",5371.63,2015-08-07,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"72683","Souix Falls","Medical Doctor",1235.44,2015-08-10,"2015",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"72689","Souix Falls","Medical Doctor",4500,2015-08-10,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"72720","SIOUX FALLS","Medical Doctor",3850,2015-08-11,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72725","SIOUX FALSS","",1000,2015-08-11,"2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"72730","WATERTOWN","Medical Doctor",1500,2015-08-11,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72776","Dakota Dunes","Medical Doctor",5500,2015-08-12,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72799","Sioux Falls","Medical Doctor",2800,2015-08-12,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72825","SIOUX FALLS","Medical Doctor",1750,2015-08-12,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72830","SIOUX FALLS","Medical Doctor",1750,2015-08-12,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72842","SIOUX FALLS","Medical Doctor",1750,2015-08-12,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72844","SIOUX FALLS","Medical Doctor",1750,2015-08-12,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72862","SIOUX FALLS","Medical Doctor",4440,2015-08-13,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72871","SIOUX FALLS","Medical Doctor",8198.51,2015-08-13,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"72880","SIOUX FALLS","Medical Doctor",1338.96,2015-08-13,"2015",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"72911","SPEARFISH","Doctor of Osteopathy",1840,2015-08-14,"2015",1,"In-kind items and services","Education","No Third Party Payment"
"72929","RAPID CITY","Doctor of Osteopathy",2750,2015-08-14,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72963","SIOUX FALLS","Medical Doctor",1500,2015-08-17,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"72980","SIOUX FALLS","Medical Doctor",4604.26,2015-08-17,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"72992","SIOUX FALLS","Medical Doctor",2100,2015-08-17,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"73011","SIOUX FALLS","Medical Doctor",1500,2015-08-17,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73012","Sioux Falls","Medical Doctor",1300,2015-08-17,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73134","RAPID CITY","Medical Doctor",16975.85,2015-08-19,"2015",1,"Cash or cash equivalent","Royalty or License","No Third Party Payment"
"73196","RAPID CITY","Medical Doctor",2807.27,2015-08-20,"2015",1,"Cash or cash equivalent","Royalty or License","No Third Party Payment"
"73233","SIOUX FALLS","Medical Doctor",1360.8,2015-08-20,"2015",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"73319","Sioux Falls","Medical Doctor",7200,2015-08-24,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"73327","Sioux Falls","Medical Doctor",1300,2015-08-24,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73329","SIOUX FALLS","Medical Doctor",4399.28,2015-08-24,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"73330","SIOUX FALLS","Medical Doctor",2800,2015-08-24,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73335","Sioux Falls","Medical Doctor",1300,2015-08-24,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73337","Sioux Falls","",1000,2015-08-24,"2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","Entity"
"73342","Sioux Falls","Medical Doctor",1104.7,2015-08-24,"2015",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"73347","Sioux Falls","Medical Doctor",1200,2015-08-24,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73423","Sioux Falls","",1000,2015-08-25,"2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"73431","SIOUX FALLS","Medical Doctor",2800,2015-08-25,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73445","SIOUX FALLS","Doctor of Osteopathy",2200,2015-08-26,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73463","SIOUX FALLS","Medical Doctor",4440,2015-08-26,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73474","SIOUX FALLS","Medical Doctor",1955,2015-08-26,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73500","SIOUX FALLS","Medical Doctor",1008.97,2015-08-26,"2015",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"73501","Sioux Falls","Medical Doctor",3500,2015-08-26,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73504","Dakota Dunes","Medical Doctor",5500,2015-08-26,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73572","SIOUX FALLS","Medical Doctor",2500,2015-08-27,"2015",1,"Cash or cash equivalent","Education","No Third Party Payment"
"73583","SIOUX FALLS","Medical Doctor",2500,2015-08-27,"2015",1,"Cash or cash equivalent","Education","No Third Party Payment"
"73652","RAPID CITY","Doctor of Osteopathy",2420,2015-08-28,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73666","SIOUX FALLS","Medical Doctor",5500,2015-08-28,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73670","SIOUX FALLS","Medical Doctor",2100,2015-08-28,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"73676","SIOUX FALLS","Medical Doctor",1900,2015-08-28,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73737","NORTH SIOUX CITY","Medical Doctor",3000,2015-08-31,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73763","NORTH SIOUX CITY","Medical Doctor",3000,2015-08-31,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73768","Sioux Falls","",1000,2015-09-01,"2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"73779","SIOUX FALLS","Medical Doctor",2450,2015-09-01,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"73791","SIOUX FALLS","Medical Doctor",1400,2015-09-01,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"73803","SIOUX FALLS","Medical Doctor",2000,2015-09-01,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73833","SIOUX FALLS","Medical Doctor",3000,2015-09-01,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73863","SIOUX FALLS","Medical Doctor",2000,2015-09-01,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73878","SIOUX FALLS","Medical Doctor",1500,2015-09-02,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73902","SIOUX FALLS","",1000,2015-09-02,"2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"73903","SIOUX FALLS","Medical Doctor",3750,2015-09-02,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73911","RAPID CITY","Medical Doctor",125073.47,2015-09-02,"2015",1,"Cash or cash equivalent","Royalty or License","No Third Party Payment"
"73929","SIOUX FALLS","Medical Doctor",1000,2015-09-02,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73932","SIOUX FALLS","Medical Doctor",3750,2015-09-02,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"73975","Sioux Falls","",1000,2015-09-03,"2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"74001","Sioux Falls","Medical Doctor",2850,2015-09-04,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"74012","Sioux Falls","Medical Doctor",2550,2015-09-04,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"74026","SIOUX FALLS","Medical Doctor",25095.87,2015-09-04,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"74034","Sioux Falls","Medical Doctor",2400,2015-09-04,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"74037","SIOUX FALSS","",1000,2015-09-07,"2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"74040","SIOUX FALLS","",1000,2015-09-07,"2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"74137","SIOUX FALLS","Doctor of Osteopathy",2300,2015-09-09,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74202","SIOUX FALLS","",1000,2015-09-10,"2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"74206","SIOUX FALLS","Doctor of Osteopathy",2900,2015-09-10,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74254","SIOUX FALLS","Medical Doctor",1500,2015-09-11,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74269","Sioux Falls","Medical Doctor",1004.6,2015-09-11,"2015",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"74276","Sioux Falls","Medical Doctor",2500,2015-09-11,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74282","SIOUX FALLS","Medical Doctor",1500,2015-09-11,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74291","SIOUX FALLS","Medical Doctor",1900,2015-09-11,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74300","Sioux Falls","",2000,2015-09-13,"2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"74333","SIOUX FALLS","Doctor of Optometry",1100,2015-09-14,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74364","SIOUX FALLS","Medical Doctor",9399.44,2015-09-14,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"74438","SIOUX FALLS","Medical Doctor",1400,2015-09-16,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"74453","Sioux Falls","",1000,2015-09-16,"2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"74502","SIOUX FALLS","Medical Doctor",2500,2015-09-16,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74512","Sioux Falls","Medical Doctor",2800,2015-09-17,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74538","Sioux Falls","Medical Doctor",1072.7,2015-09-17,"2015",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"74557","SIOUX FALLS","Medical Doctor",2100,2015-09-17,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74573","Sioux Falls","Medical Doctor",2800,2015-09-17,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74578","SIOUX FALLS","Medical Doctor",2150,2015-09-17,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74596","SIOUX FALLS","Medical Doctor",2150,2015-09-18,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74625","DAKOTA DUNES","Medical Doctor",2695,2015-09-18,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"74641","RAPID CITY","Medical Doctor",1175.2,2015-09-20,"2015",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"74745","SIOUX FALLS","Doctor of Osteopathy",2200,2015-09-22,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74779","SIOUX FALLS","Medical Doctor",2500,2015-09-22,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74814","RAPID CITY","Medical Doctor",15000,2015-09-23,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"74840","SIOUX FALLS","Medical Doctor",2500,2015-09-23,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74841","Sioux Falls","Medical Doctor",4255,2015-09-23,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74901","Sioux Falls","Medical Doctor",3552,2015-09-23,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74913","Sioux Falls","Medical Doctor",2600,2015-09-23,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"74943","SIOUX FALLS","Medical Doctor",1353.6,2015-09-24,"2015",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"74945","SIOUX FALLS","Medical Doctor",2500,2015-09-24,"2015",1,"Cash or cash equivalent","Consulting Fee","Entity"
"74992","SIOUX FALLS","",1000,2015-09-24,"2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","No Third Party Payment"
"75031","SIOUX FALLS","Medical Doctor",5280,2015-09-25,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"75039","SIOUX FALLS","Medical Doctor",4987.94,2015-09-25,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"75054","SIOUX FALLS","Medical Doctor",1729.7,2015-09-25,"2015",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"75062","SIOUX FALLS","Medical Doctor",12200,2015-09-25,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"75084","SIOUX FALLS","Medical Doctor",7000,2015-09-28,"2015",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"75114","SIOUX FALLS","Medical Doctor",2500,2015-09-28,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"75151","SIOUX FALLS","Medical Doctor",1750,2015-09-29,"2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
